time1,time2,bodystate
Tue Mar  4 11:27:00 2014,Tue Mar  4 11:32:00 2014,inactive
Tue Mar  4 11:25:00 2014,Tue Mar  4 11:27:00 2014,light_activity
Tue Mar  4 11:05:00 2014,Tue Mar  4 11:25:00 2014,inactive
Tue Mar  4 11:04:00 2014,Tue Mar  4 11:05:00 2014,light_activity
Tue Mar  4 10:59:00 2014,Tue Mar  4 11:04:00 2014,inactive
Tue Mar  4 10:57:00 2014,Tue Mar  4 10:59:00 2014,light_activity
Tue Mar  4 10:53:00 2014,Tue Mar  4 10:57:00 2014,inactive
Tue Mar  4 10:41:00 2014,Tue Mar  4 10:53:00 2014,light_activity
Tue Mar  4 10:21:00 2014,Tue Mar  4 10:41:00 2014,inactive
Tue Mar  4 10:18:00 2014,Tue Mar  4 10:21:00 2014,light_activity
Tue Mar  4 09:44:00 2014,Tue Mar  4 10:18:00 2014,moderate_activity
Tue Mar  4 09:43:00 2014,Tue Mar  4 09:44:00 2014,light_activity
Tue Mar  4 09:37:00 2014,Tue Mar  4 09:43:00 2014,inactive
Tue Mar  4 09:36:00 2014,Tue Mar  4 09:37:00 2014,light_activity
Tue Mar  4 09:30:00 2014,Tue Mar  4 09:36:00 2014,inactive
Tue Mar  4 09:06:00 2014,Tue Mar  4 09:30:00 2014,light_activity
Tue Mar  4 09:03:00 2014,Tue Mar  4 09:06:00 2014,inactive
Tue Mar  4 08:53:00 2014,Tue Mar  4 09:03:00 2014,light_activity
Tue Mar  4 08:50:00 2014,Tue Mar  4 08:53:00 2014,inactive
Tue Mar  4 08:29:00 2014,Tue Mar  4 08:50:00 2014,light_activity
Tue Mar  4 08:00:00 2014,Tue Mar  4 08:29:00 2014,inactive
Tue Mar  4 00:55:00 2014,Tue Mar  4 08:00:00 2014,sleep
Tue Mar  4 00:47:00 2014,Tue Mar  4 00:55:00 2014,inactive
Tue Mar  4 00:46:00 2014,Tue Mar  4 00:47:00 2014,light_activity
Tue Mar  4 00:07:00 2014,Tue Mar  4 00:46:00 2014,inactive
Tue Mar  4 00:03:00 2014,Tue Mar  4 00:07:00 2014,light_activity
Mon Mar  3 23:18:00 2014,Tue Mar  4 00:03:00 2014,sleep
Mon Mar  3 23:06:00 2014,Mon Mar  3 23:18:00 2014,inactive
Mon Mar  3 23:05:00 2014,Mon Mar  3 23:06:00 2014,light_activity
Mon Mar  3 22:22:00 2014,Mon Mar  3 23:05:00 2014,inactive
Mon Mar  3 22:16:00 2014,Mon Mar  3 22:22:00 2014,light_activity
Mon Mar  3 22:03:00 2014,Mon Mar  3 22:16:00 2014,inactive
Mon Mar  3 22:02:00 2014,Mon Mar  3 22:03:00 2014,light_activity
Mon Mar  3 21:55:00 2014,Mon Mar  3 22:02:00 2014,inactive
Mon Mar  3 21:53:00 2014,Mon Mar  3 21:55:00 2014,light_activity
Mon Mar  3 21:29:00 2014,Mon Mar  3 21:53:00 2014,inactive
Mon Mar  3 21:24:00 2014,Mon Mar  3 21:29:00 2014,light_activity
Mon Mar  3 21:13:00 2014,Mon Mar  3 21:24:00 2014,inactive
Mon Mar  3 20:59:00 2014,Mon Mar  3 21:13:00 2014,moderate_activity
Mon Mar  3 20:42:00 2014,Mon Mar  3 20:59:00 2014,inactive
Mon Mar  3 20:37:00 2014,Mon Mar  3 20:42:00 2014,light_activity
Mon Mar  3 20:26:00 2014,Mon Mar  3 20:37:00 2014,off_wrist
Mon Mar  3 20:21:00 2014,Mon Mar  3 20:26:00 2014,light_activity
Mon Mar  3 20:02:00 2014,Mon Mar  3 20:21:00 2014,inactive
Mon Mar  3 20:00:00 2014,Mon Mar  3 20:02:00 2014,light_activity
Mon Mar  3 19:57:00 2014,Mon Mar  3 20:00:00 2014,inactive
Mon Mar  3 19:42:00 2014,Mon Mar  3 19:57:00 2014,light_activity
Mon Mar  3 19:35:00 2014,Mon Mar  3 19:42:00 2014,inactive
Mon Mar  3 19:21:00 2014,Mon Mar  3 19:35:00 2014,light_activity
Mon Mar  3 19:11:00 2014,Mon Mar  3 19:21:00 2014,moderate_activity
Mon Mar  3 19:09:00 2014,Mon Mar  3 19:11:00 2014,light_activity
Mon Mar  3 19:02:00 2014,Mon Mar  3 19:09:00 2014,inactive
Mon Mar  3 18:55:00 2014,Mon Mar  3 19:02:00 2014,light_activity
Mon Mar  3 18:43:00 2014,Mon Mar  3 18:55:00 2014,inactive
Mon Mar  3 18:42:00 2014,Mon Mar  3 18:43:00 2014,light_activity
Mon Mar  3 18:32:00 2014,Mon Mar  3 18:42:00 2014,moderate_activity
Mon Mar  3 18:28:00 2014,Mon Mar  3 18:32:00 2014,light_activity
Mon Mar  3 18:18:00 2014,Mon Mar  3 18:28:00 2014,inactive
Mon Mar  3 18:17:00 2014,Mon Mar  3 18:18:00 2014,off_wrist
Mon Mar  3 18:12:00 2014,Mon Mar  3 18:17:00 2014,light_activity
Mon Mar  3 18:06:00 2014,Mon Mar  3 18:12:00 2014,inactive
Mon Mar  3 18:03:00 2014,Mon Mar  3 18:06:00 2014,light_activity
Mon Mar  3 17:51:00 2014,Mon Mar  3 18:03:00 2014,inactive
Mon Mar  3 17:46:00 2014,Mon Mar  3 17:51:00 2014,light_activity
Mon Mar  3 17:38:00 2014,Mon Mar  3 17:46:00 2014,inactive
Mon Mar  3 17:35:00 2014,Mon Mar  3 17:38:00 2014,light_activity
Mon Mar  3 17:02:00 2014,Mon Mar  3 17:35:00 2014,inactive
Mon Mar  3 17:01:00 2014,Mon Mar  3 17:02:00 2014,light_activity
Mon Mar  3 16:12:00 2014,Mon Mar  3 17:01:00 2014,inactive
Mon Mar  3 16:09:00 2014,Mon Mar  3 16:12:00 2014,light_activity
Mon Mar  3 15:59:00 2014,Mon Mar  3 16:09:00 2014,inactive
Mon Mar  3 15:57:00 2014,Mon Mar  3 15:59:00 2014,light_activity
Mon Mar  3 15:54:00 2014,Mon Mar  3 15:57:00 2014,inactive
Mon Mar  3 15:48:00 2014,Mon Mar  3 15:54:00 2014,light_activity
Mon Mar  3 15:13:00 2014,Mon Mar  3 15:48:00 2014,inactive
Mon Mar  3 15:12:00 2014,Mon Mar  3 15:13:00 2014,light_activity
Mon Mar  3 14:59:00 2014,Mon Mar  3 15:12:00 2014,inactive
Mon Mar  3 14:53:00 2014,Mon Mar  3 14:59:00 2014,light_activity
Mon Mar  3 14:48:00 2014,Mon Mar  3 14:53:00 2014,inactive
Mon Mar  3 14:46:00 2014,Mon Mar  3 14:48:00 2014,light_activity
Mon Mar  3 14:13:00 2014,Mon Mar  3 14:46:00 2014,inactive
Mon Mar  3 14:09:00 2014,Mon Mar  3 14:13:00 2014,light_activity
Mon Mar  3 14:03:00 2014,Mon Mar  3 14:09:00 2014,inactive
Mon Mar  3 13:59:00 2014,Mon Mar  3 14:03:00 2014,light_activity
Mon Mar  3 13:04:00 2014,Mon Mar  3 13:59:00 2014,inactive
Mon Mar  3 12:58:00 2014,Mon Mar  3 13:04:00 2014,light_activity
Mon Mar  3 12:20:00 2014,Mon Mar  3 12:58:00 2014,inactive
Mon Mar  3 12:19:00 2014,Mon Mar  3 12:20:00 2014,light_activity
Mon Mar  3 12:01:00 2014,Mon Mar  3 12:19:00 2014,inactive
Mon Mar  3 11:59:00 2014,Mon Mar  3 12:01:00 2014,light_activity
Mon Mar  3 11:50:00 2014,Mon Mar  3 11:59:00 2014,inactive
Mon Mar  3 11:48:00 2014,Mon Mar  3 11:50:00 2014,light_activity
Mon Mar  3 11:31:00 2014,Mon Mar  3 11:48:00 2014,inactive
Mon Mar  3 11:28:00 2014,Mon Mar  3 11:31:00 2014,light_activity
Mon Mar  3 11:18:00 2014,Mon Mar  3 11:28:00 2014,inactive
Mon Mar  3 11:17:00 2014,Mon Mar  3 11:18:00 2014,light_activity
Mon Mar  3 11:11:00 2014,Mon Mar  3 11:17:00 2014,inactive
Mon Mar  3 11:04:00 2014,Mon Mar  3 11:11:00 2014,light_activity
Mon Mar  3 11:00:00 2014,Mon Mar  3 11:04:00 2014,inactive
Mon Mar  3 10:59:00 2014,Mon Mar  3 11:00:00 2014,light_activity
Mon Mar  3 10:40:00 2014,Mon Mar  3 10:59:00 2014,inactive
Mon Mar  3 10:39:00 2014,Mon Mar  3 10:40:00 2014,light_activity
Mon Mar  3 10:31:00 2014,Mon Mar  3 10:39:00 2014,inactive
Mon Mar  3 09:57:00 2014,Mon Mar  3 10:31:00 2014,moderate_activity
Mon Mar  3 09:50:00 2014,Mon Mar  3 09:57:00 2014,inactive
Mon Mar  3 09:06:00 2014,Mon Mar  3 09:50:00 2014,light_activity
Mon Mar  3 08:58:00 2014,Mon Mar  3 09:06:00 2014,inactive
Sun Mar  2 22:51:00 2014,Mon Mar  3 08:58:00 2014,sleep
Sun Mar  2 22:43:00 2014,Sun Mar  2 22:51:00 2014,inactive
Sun Mar  2 22:24:00 2014,Sun Mar  2 22:43:00 2014,light_activity
Sun Mar  2 22:20:00 2014,Sun Mar  2 22:24:00 2014,inactive
Sun Mar  2 22:15:00 2014,Sun Mar  2 22:20:00 2014,light_activity
Sun Mar  2 21:15:00 2014,Sun Mar  2 22:15:00 2014,inactive
Sun Mar  2 21:09:00 2014,Sun Mar  2 21:15:00 2014,light_activity
Sun Mar  2 21:03:00 2014,Sun Mar  2 21:09:00 2014,off_wrist
Sun Mar  2 20:37:00 2014,Sun Mar  2 21:03:00 2014,light_activity
Sun Mar  2 20:26:00 2014,Sun Mar  2 20:37:00 2014,inactive
Sun Mar  2 20:25:00 2014,Sun Mar  2 20:26:00 2014,light_activity
Sun Mar  2 20:20:00 2014,Sun Mar  2 20:25:00 2014,inactive
Sun Mar  2 20:16:00 2014,Sun Mar  2 20:20:00 2014,light_activity
Sun Mar  2 19:54:00 2014,Sun Mar  2 20:16:00 2014,inactive
Sun Mar  2 19:51:00 2014,Sun Mar  2 19:54:00 2014,light_activity
Sun Mar  2 19:46:00 2014,Sun Mar  2 19:51:00 2014,inactive
Sun Mar  2 19:45:00 2014,Sun Mar  2 19:46:00 2014,light_activity
Sun Mar  2 18:49:00 2014,Sun Mar  2 19:45:00 2014,off_wrist
Sun Mar  2 18:43:00 2014,Sun Mar  2 18:49:00 2014,light_activity
Sun Mar  2 18:39:00 2014,Sun Mar  2 18:43:00 2014,inactive
Sun Mar  2 18:37:00 2014,Sun Mar  2 18:39:00 2014,light_activity
Sun Mar  2 18:26:00 2014,Sun Mar  2 18:37:00 2014,inactive
Sun Mar  2 18:21:00 2014,Sun Mar  2 18:26:00 2014,light_activity
Sun Mar  2 18:16:00 2014,Sun Mar  2 18:21:00 2014,inactive
Sun Mar  2 17:39:00 2014,Sun Mar  2 18:16:00 2014,light_activity
Sun Mar  2 17:27:00 2014,Sun Mar  2 17:39:00 2014,inactive
Sun Mar  2 17:26:00 2014,Sun Mar  2 17:27:00 2014,light_activity
Sun Mar  2 16:18:00 2014,Sun Mar  2 17:26:00 2014,inactive
Sun Mar  2 16:15:00 2014,Sun Mar  2 16:18:00 2014,light_activity
Sun Mar  2 16:05:00 2014,Sun Mar  2 16:15:00 2014,inactive
Sun Mar  2 16:03:00 2014,Sun Mar  2 16:05:00 2014,light_activity
Sun Mar  2 15:32:00 2014,Sun Mar  2 16:03:00 2014,inactive
Sun Mar  2 15:26:00 2014,Sun Mar  2 15:32:00 2014,light_activity
Sun Mar  2 15:16:00 2014,Sun Mar  2 15:26:00 2014,moderate_activity
Sun Mar  2 15:14:00 2014,Sun Mar  2 15:16:00 2014,light_activity
Sun Mar  2 14:55:00 2014,Sun Mar  2 15:14:00 2014,inactive
Sun Mar  2 14:54:00 2014,Sun Mar  2 14:55:00 2014,light_activity
Sun Mar  2 14:48:00 2014,Sun Mar  2 14:54:00 2014,inactive
Sun Mar  2 14:45:00 2014,Sun Mar  2 14:48:00 2014,light_activity
Sun Mar  2 14:08:00 2014,Sun Mar  2 14:45:00 2014,inactive
Sun Mar  2 14:00:00 2014,Sun Mar  2 14:08:00 2014,light_activity
Sun Mar  2 13:57:00 2014,Sun Mar  2 14:00:00 2014,inactive
Sun Mar  2 13:54:00 2014,Sun Mar  2 13:57:00 2014,light_activity
Sun Mar  2 13:51:00 2014,Sun Mar  2 13:54:00 2014,inactive
Sun Mar  2 13:27:00 2014,Sun Mar  2 13:51:00 2014,light_activity
Sun Mar  2 13:24:00 2014,Sun Mar  2 13:27:00 2014,inactive
Sun Mar  2 13:23:00 2014,Sun Mar  2 13:24:00 2014,light_activity
Sun Mar  2 13:14:00 2014,Sun Mar  2 13:23:00 2014,inactive
Sun Mar  2 13:13:00 2014,Sun Mar  2 13:14:00 2014,light_activity
Sun Mar  2 13:01:00 2014,Sun Mar  2 13:13:00 2014,moderate_activity
Sun Mar  2 12:26:00 2014,Sun Mar  2 13:01:00 2014,light_activity
Sun Mar  2 12:23:00 2014,Sun Mar  2 12:26:00 2014,inactive
Sun Mar  2 12:10:00 2014,Sun Mar  2 12:23:00 2014,light_activity
Sun Mar  2 12:07:00 2014,Sun Mar  2 12:10:00 2014,inactive
Sun Mar  2 12:06:00 2014,Sun Mar  2 12:07:00 2014,light_activity
Sun Mar  2 12:01:00 2014,Sun Mar  2 12:06:00 2014,inactive
Sun Mar  2 11:40:00 2014,Sun Mar  2 12:01:00 2014,light_activity
Sun Mar  2 11:36:00 2014,Sun Mar  2 11:40:00 2014,inactive
Sun Mar  2 11:30:00 2014,Sun Mar  2 11:36:00 2014,light_activity
Sun Mar  2 11:27:00 2014,Sun Mar  2 11:30:00 2014,inactive
Sun Mar  2 11:24:00 2014,Sun Mar  2 11:27:00 2014,light_activity
Sun Mar  2 11:20:00 2014,Sun Mar  2 11:24:00 2014,inactive
Sun Mar  2 11:14:00 2014,Sun Mar  2 11:20:00 2014,light_activity
Sun Mar  2 10:57:00 2014,Sun Mar  2 11:14:00 2014,moderate_activity
Sun Mar  2 10:53:00 2014,Sun Mar  2 10:57:00 2014,inactive
Sun Mar  2 10:52:00 2014,Sun Mar  2 10:53:00 2014,light_activity
Sun Mar  2 10:44:00 2014,Sun Mar  2 10:52:00 2014,inactive
Sun Mar  2 10:28:00 2014,Sun Mar  2 10:44:00 2014,light_activity
Sun Mar  2 10:10:00 2014,Sun Mar  2 10:28:00 2014,inactive
Sun Mar  2 10:08:00 2014,Sun Mar  2 10:10:00 2014,light_activity
Sun Mar  2 09:48:00 2014,Sun Mar  2 10:08:00 2014,moderate_activity
Sun Mar  2 09:36:00 2014,Sun Mar  2 09:48:00 2014,light_activity
Sun Mar  2 09:33:00 2014,Sun Mar  2 09:36:00 2014,inactive
Sun Mar  2 09:25:00 2014,Sun Mar  2 09:33:00 2014,light_activity
Sun Mar  2 09:19:00 2014,Sun Mar  2 09:25:00 2014,inactive
Sun Mar  2 08:43:00 2014,Sun Mar  2 09:19:00 2014,light_activity
Sun Mar  2 08:31:00 2014,Sun Mar  2 08:43:00 2014,moderate_activity
Sun Mar  2 08:29:00 2014,Sun Mar  2 08:31:00 2014,light_activity
Sun Mar  2 08:22:00 2014,Sun Mar  2 08:29:00 2014,inactive
Sat Mar  1 23:52:00 2014,Sun Mar  2 08:22:00 2014,sleep
Sat Mar  1 23:48:00 2014,Sat Mar  1 23:52:00 2014,inactive
Sat Mar  1 23:47:00 2014,Sat Mar  1 23:48:00 2014,light_activity
Sat Mar  1 23:33:00 2014,Sat Mar  1 23:47:00 2014,inactive
Sat Mar  1 23:29:00 2014,Sat Mar  1 23:33:00 2014,light_activity
Sat Mar  1 19:53:00 2014,Sat Mar  1 23:29:00 2014,off_wrist
Sat Mar  1 19:29:00 2014,Sat Mar  1 19:53:00 2014,light_activity
Sat Mar  1 19:24:00 2014,Sat Mar  1 19:29:00 2014,inactive
Sat Mar  1 19:19:00 2014,Sat Mar  1 19:24:00 2014,light_activity
Sat Mar  1 19:06:00 2014,Sat Mar  1 19:19:00 2014,inactive
Sat Mar  1 19:04:00 2014,Sat Mar  1 19:06:00 2014,light_activity
Sat Mar  1 18:59:00 2014,Sat Mar  1 19:04:00 2014,inactive
Sat Mar  1 18:52:00 2014,Sat Mar  1 18:59:00 2014,light_activity
Sat Mar  1 18:49:00 2014,Sat Mar  1 18:52:00 2014,inactive
Sat Mar  1 18:48:00 2014,Sat Mar  1 18:49:00 2014,light_activity
Sat Mar  1 18:31:00 2014,Sat Mar  1 18:48:00 2014,inactive
Sat Mar  1 18:26:00 2014,Sat Mar  1 18:31:00 2014,light_activity
Sat Mar  1 18:11:00 2014,Sat Mar  1 18:26:00 2014,inactive
Sat Mar  1 17:53:00 2014,Sat Mar  1 18:11:00 2014,light_activity
Sat Mar  1 17:50:00 2014,Sat Mar  1 17:53:00 2014,inactive
Sat Mar  1 17:42:00 2014,Sat Mar  1 17:50:00 2014,light_activity
Sat Mar  1 17:39:00 2014,Sat Mar  1 17:42:00 2014,inactive
Sat Mar  1 17:26:00 2014,Sat Mar  1 17:39:00 2014,light_activity
Sat Mar  1 17:21:00 2014,Sat Mar  1 17:26:00 2014,inactive
Sat Mar  1 17:14:00 2014,Sat Mar  1 17:21:00 2014,light_activity
Sat Mar  1 17:09:00 2014,Sat Mar  1 17:14:00 2014,inactive
Sat Mar  1 17:03:00 2014,Sat Mar  1 17:09:00 2014,light_activity
Sat Mar  1 16:59:00 2014,Sat Mar  1 17:03:00 2014,inactive
Sat Mar  1 16:55:00 2014,Sat Mar  1 16:59:00 2014,light_activity
Sat Mar  1 16:51:00 2014,Sat Mar  1 16:55:00 2014,inactive
Sat Mar  1 16:48:00 2014,Sat Mar  1 16:51:00 2014,light_activity
Sat Mar  1 16:25:00 2014,Sat Mar  1 16:48:00 2014,moderate_activity
Sat Mar  1 16:23:00 2014,Sat Mar  1 16:25:00 2014,light_activity
Sat Mar  1 16:18:00 2014,Sat Mar  1 16:23:00 2014,inactive
Sat Mar  1 16:10:00 2014,Sat Mar  1 16:18:00 2014,light_activity
Sat Mar  1 16:06:00 2014,Sat Mar  1 16:10:00 2014,inactive
Sat Mar  1 15:53:00 2014,Sat Mar  1 16:06:00 2014,light_activity
Sat Mar  1 15:48:00 2014,Sat Mar  1 15:53:00 2014,inactive
Sat Mar  1 15:40:00 2014,Sat Mar  1 15:48:00 2014,light_activity
Sat Mar  1 15:32:00 2014,Sat Mar  1 15:40:00 2014,inactive
Sat Mar  1 15:31:00 2014,Sat Mar  1 15:32:00 2014,light_activity
Sat Mar  1 15:28:00 2014,Sat Mar  1 15:31:00 2014,inactive
Sat Mar  1 14:14:00 2014,Sat Mar  1 15:28:00 2014,sleep
Sat Mar  1 14:11:00 2014,Sat Mar  1 14:14:00 2014,inactive
Sat Mar  1 14:09:00 2014,Sat Mar  1 14:11:00 2014,light_activity
Sat Mar  1 13:41:00 2014,Sat Mar  1 14:09:00 2014,inactive
Sat Mar  1 13:37:00 2014,Sat Mar  1 13:41:00 2014,light_activity
Sat Mar  1 13:06:00 2014,Sat Mar  1 13:37:00 2014,inactive
Sat Mar  1 13:05:00 2014,Sat Mar  1 13:06:00 2014,light_activity
Sat Mar  1 13:02:00 2014,Sat Mar  1 13:05:00 2014,inactive
Sat Mar  1 13:01:00 2014,Sat Mar  1 13:02:00 2014,light_activity
Sat Mar  1 08:48:00 2014,Sat Mar  1 13:01:00 2014,off_wrist
Sat Mar  1 08:45:00 2014,Sat Mar  1 08:48:00 2014,light_activity
Sat Mar  1 08:38:00 2014,Sat Mar  1 08:45:00 2014,inactive
Sat Mar  1 08:36:00 2014,Sat Mar  1 08:38:00 2014,light_activity
Sat Mar  1 08:30:00 2014,Sat Mar  1 08:36:00 2014,inactive
Sat Mar  1 08:27:00 2014,Sat Mar  1 08:30:00 2014,light_activity
Sat Mar  1 08:24:00 2014,Sat Mar  1 08:27:00 2014,inactive
Sat Mar  1 08:05:00 2014,Sat Mar  1 08:24:00 2014,light_activity
Sat Mar  1 07:59:00 2014,Sat Mar  1 08:05:00 2014,inactive
Sat Mar  1 07:58:00 2014,Sat Mar  1 07:59:00 2014,light_activity
Fri Feb 28 23:07:00 2014,Sat Mar  1 07:58:00 2014,sleep
